time	SOL	GAS	TA	MH	BF	VL	VM	RF	GMAX	GMED
0	0.000587	0.000273	0.005365	0.000359	0.000277	0.000303	0.000332	0.000217	0.000198	0.000269
0.0005	0.000641	0.000299	0.005877	0.000392	0.000305	0.000331	0.000362	0.000237	0.000217	0.000295
0.001	0.000697	0.000325	0.006409	0.000426	0.000333	0.00036	0.000394	0.000258	0.000237	0.000321
0.0015	0.000753	0.000353	0.006956	0.000461	0.000363	0.00039	0.000425	0.000279	0.000257	0.000348
0.002	0.00081	0.00038	0.007514	0.000496	0.000394	0.00042	0.000457	0.0003	0.000278	0.000375
0.0025	0.000868	0.000408	0.008081	0.000531	0.000426	0.00045	0.000489	0.000322	0.000299	0.000402
0.003	0.000924	0.000435	0.008653	0.000566	0.000458	0.00048	0.00052	0.000343	0.00032	0.00043
0.0035	0.000981	0.000463	0.00923	0.000601	0.000491	0.00051	0.000551	0.000364	0.000342	0.000457
0.004	0.001037	0.00049	0.009809	0.000635	0.000525	0.00054	0.000581	0.000385	0.000364	0.000485
0.0045	0.001092	0.000518	0.010389	0.000669	0.000559	0.00057	0.000611	0.000406	0.000385	0.000512
0.005	0.001146	0.000545	0.010969	0.000703	0.000594	0.000599	0.00064	0.000426	0.000407	0.000539
0.0055	0.001199	0.000572	0.011548	0.000735	0.000629	0.000628	0.000669	0.000446	0.000429	0.000566
0.006	0.001251	0.000598	0.012126	0.000768	0.000665	0.000656	0.000696	0.000465	0.000451	0.000592
0.0065	0.001302	0.000624	0.012702	0.000799	0.000701	0.000684	0.000723	0.000485	0.000473	0.000619
0.007	0.001352	0.00065	0.013275	0.00083	0.000737	0.000712	0.000749	0.000503	0.000494	0.000644
0.0075	0.001401	0.000675	0.013846	0.00086	0.000774	0.000739	0.000775	0.000522	0.000516	0.00067
0.008	0.001448	0.0007	0.014413	0.000889	0.000811	0.000765	0.000799	0.00054	0.000538	0.000695
0.0085	0.001495	0.000724	0.014976	0.000918	0.000848	0.000791	0.000823	0.000557	0.000559	0.00072
0.009	0.001541	0.000748	0.015536	0.000946	0.000885	0.000817	0.000846	0.000575	0.000581	0.000745
0.0095	0.001585	0.000772	0.016091	0.000974	0.000922	0.000842	0.000869	0.000592	0.000602	0.000769
0.01	0.001629	0.000795	0.016643	0.001001	0.000959	0.000867	0.00089	0.000608	0.000623	0.000793
0.0105	0.001672	0.000818	0.01719	0.001027	0.000997	0.000891	0.000911	0.000624	0.000645	0.000816
0.011	0.001714	0.000841	0.017733	0.001053	0.001034	0.000915	0.000932	0.00064	0.000666	0.00084
0.0115	0.001755	0.000863	0.018271	0.001078	0.001071	0.000938	0.000952	0.000656	0.000686	0.000863
0.012	0.001796	0.000884	0.018805	0.001103	0.001109	0.000961	0.000971	0.000671	0.000707	0.000885
0.0125	0.001835	0.000906	0.019334	0.001127	0.001146	0.000984	0.00099	0.000686	0.000728	0.000908
0.013	0.001874	0.000927	0.019858	0.00115	0.001183	0.001006	0.001008	0.000701	0.000748	0.00093
0.0135	0.001912	0.000947	0.020377	0.001173	0.00122	0.001028	0.001026	0.000715	0.000769	0.000951
0.014	0.00195	0.000967	0.020891	0.001196	0.001257	0.001049	0.001043	0.000729	0.000789	0.000973
0.0145	0.001987	0.000987	0.0214	0.001218	0.001294	0.00107	0.00106	0.000743	0.000809	0.000994
0.015	0.002024	0.001007	0.021904	0.00124	0.00133	0.001091	0.001077	0.000757	0.000829	0.001015
0.0155	0.00206	0.001026	0.022403	0.001262	0.001367	0.001112	0.001093	0.000771	0.000849	0.001035
0.016	0.002096	0.001045	0.022897	0.001283	0.001403	0.001132	0.001108	0.000784	0.000869	0.001056
0.0165	0.002131	0.001063	0.023386	0.001303	0.001439	0.001152	0.001124	0.000797	0.000888	0.001076
0.017	0.002165	0.001082	0.023869	0.001324	0.001474	0.001171	0.001139	0.00081	0.000908	0.001096
0.0175	0.0022	0.0011	0.024347	0.001344	0.001509	0.001191	0.001154	0.000823	0.000927	0.001115
0.018	0.002234	0.001117	0.024819	0.001363	0.001544	0.00121	0.001168	0.000836	0.000946	0.001135
0.0185	0.002268	0.001135	0.025286	0.001383	0.001579	0.001228	0.001182	0.000848	0.000965	0.001154
0.019	0.002301	0.001152	0.025747	0.001402	0.001613	0.001247	0.001196	0.00086	0.000984	0.001172
